Symbol,Quote Asset,Quote Price in USDT,24h Quote Volume,24h Volume in USD
FETBTC,BTC,105222.45,11.9135277,1253570.572736865
BATUSDT,USDT,1.0,1164163.7676,1164163.7676
XMRBNB,BNB,680.04,0.0,0.0
XMRUSDT,USDT,1.0,0.0,0.0
ZECBNB,BNB,680.04,0.0,0.0
ZECUSDT,USDT,1.0,2457009.52936,2457009.52936
ZECPAX,PAX,0.0,0.0,0.0
ZECTUSD,TUSD,0.9984,0.0,0.0
ZECUSDC,USDC,1.0,0.0,0.0
IOSTUSDT,USDT,1.0,965607.021613,965607.021613
CELRBNB,BNB,680.04,0.0,0.0
FETUSDT,USDT,1.0,42163908.3841,42163908.3841
CELRBTC,BTC,105222.45,0.09694518,10200.809355291
CELRUSDT,USDT,1.0,1393127.974869,1393127.974869
ADAPAX,PAX,0.0,0.0,0.0
ADAUSDC,USDC,1.0,16036009.58741,16036009.58741
NEOPAX,PAX,0.0,0.0,0.0
NEOUSDC,USDC,1.0,432322.9085,432322.9085
DASHBNB,BNB,680.04,0.0,0.0
DASHUSDT,USDT,1.0,3630387.79292,3630387.79292
NANOUSDT,USDT,1.0,0.0,0.0
OMGBNB,BNB,680.04,0.0,0.0
OMGUSDT,USDT,1.0,0.0,0.0
ENJUSDT,USDT,1.0,2459149.46294,2459149.46294
THETAUSDT,USDT,1.0,6552326.4149,6552326.4149
MITHUSDT,USDT,1.0,0.0,0.0
MATICBNB,BNB,680.04,0.0,0.0
MATICBTC,BTC,105222.45,0.0,0.0
MATICUSDT,USDT,1.0,0.0,0.0
ATOMBNB,BNB,680.04,0.0,0.0
ATOMBTC,BTC,105222.45,3.37602951,355234.0963144995
ATOMUSDC,USDC,1.0,533331.30101,533331.30101
ATOMPAX,PAX,0.0,0.0,0.0
ATOMTUSD,TUSD,0.9984,0.0,0.0
ETCUSDC,USDC,1.0,0.0,0.0
ETCPAX,PAX,0.0,0.0,0.0
ETCTUSD,TUSD,0.9984,0.0,0.0
BATUSDC,USDC,1.0,0.0,0.0
BATPAX,PAX,0.0,0.0,0.0
BATTUSD,TUSD,0.9984,0.0,0.0
PHBBNB,BNB,680.04,0.0,0.0
PHBBTC,BTC,105222.45,0.29208048,30733.423702775995
PHBUSDC,USDC,1.0,0.0,0.0
ATOMUSDT,USDT,1.0,13107916.36257,13107916.36257
PHBTUSD,TUSD,0.9984,0.0,0.0
PHBPAX,PAX,0.0,0.0,0.0
TFUELBNB,BNB,680.04,0.0,0.0
TFUELBTC,BTC,105222.45,1.58708944,166997.439245928
TFUELUSDT,USDT,1.0,785211.54953,785211.54953
TFUELUSDC,USDC,1.0,0.0,0.0
TFUELTUSD,TUSD,0.9984,0.0,0.0
ONEBNB,BNB,680.04,0.0,0.0
TFUELPAX,PAX,0.0,0.0,0.0
ONEBTC,BTC,105222.45,1.13353281,119273.09942358448
ONEUSDT,USDT,1.0,5432886.700551,5432886.700551
ONETUSD,TUSD,0.9984,0.0,0.0
ONEPAX,PAX,0.0,0.0,0.0
ONEUSDC,USDC,1.0,0.0,0.0
FTMBNB,BNB,680.04,0.0,0.0
FTMBTC,BTC,105222.45,0.0,0.0
FTMUSDT,USDT,1.0,0.0,0.0
FTMTUSD,TUSD,0.9984,0.0,0.0
FTMPAX,PAX,0.0,0.0,0.0
FTMUSDC,USDC,1.0,0.0,0.0
BTCBBTC,BTC,105222.45,0.0,0.0
BCPTPAX,PAX,0.0,0.0,0.0
BCPTTUSD,TUSD,0.9984,0.0,0.0
BCPTUSDC,USDC,1.0,0.0,0.0
ALGOBNB,BNB,680.04,0.0,0.0
ALGOBTC,BTC,105222.45,5.77773321,607947.2438025645
ALGOUSDT,USDT,1.0,27133391.9401,27133391.9401
ALGOTUSD,TUSD,0.9984,0.0,0.0
ALGOPAX,PAX,0.0,0.0,0.0
ALGOUSDC,USDC,1.0,1665515.6876,1665515.6876
USDSBUSDT,USDT,1.0,0.0,0.0
USDSBUSDS,USDS,0.0,0.0,0.0
GTOUSDT,USDT,1.0,0.0,0.0
